yourlist:M20210831A084FC58F6BBA219896F365D15F2EB441669B00	Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q09472	Q09472	EP300_HUMAN	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	EP300 P300	animal organ morphogenesis [GO:0009887]; apoptotic process [GO:0006915]; B cell differentiation [GO:0030183]; behavioral defense response [GO:0002209]; beta-catenin-TCF complex assembly [GO:1904837]; cellular response to UV [GO:0034644]; circadian rhythm [GO:0007623]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; face morphogenesis [GO:0060325]; fat cell differentiation [GO:0045444]; granulocyte differentiation [GO:0030851]; heart development [GO:0007507]; histone acetylation [GO:0016573]; histone H2B acetylation [GO:0043969]; histone H4 acetylation [GO:0043967]; internal peptidyl-lysine acetylation [GO:0018393]; internal protein amino acid acetylation [GO:0006475]; intracellular receptor signaling pathway [GO:0030522]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; learning or memory [GO:0007611]; lung development [GO:0030324]; macrophage derived foam cell differentiation [GO:0010742]; megakaryocyte development [GO:0035855]; multicellular organism growth [GO:0035264]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; N-terminal peptidyl-lysine acetylation [GO:0018076]; peptidyl-lysine acetylation [GO:0018394]; peptidyl-lysine butyrylation [GO:0140067]; peptidyl-lysine crotonylation [GO:0140066]; peptidyl-lysine propionylation [GO:0061921]; platelet formation [GO:0030220]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of neuron projection development [GO:0010976]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of protein binding [GO:0032092]; positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding [GO:1905636]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; positive regulation of transcription of Notch receptor target [GO:0007221]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of type I interferon production [GO:0032481]; protein acetylation [GO:0006473]; protein destabilization [GO:0031648]; protein deubiquitination [GO:0016579]; protein stabilization [GO:0050821]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of autophagy [GO:0010506]; regulation of cell cycle [GO:0051726]; regulation of cellular response to heat [GO:1900034]; regulation of glycolytic process [GO:0006110]; regulation of megakaryocyte differentiation [GO:0045652]; regulation of mitochondrion organization [GO:0010821]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; regulation of tubulin deacetylation [GO:0090043]; response to estrogen [GO:0043627]; response to hypoxia [GO:0001666]; skeletal muscle tissue development [GO:0007519]; somitogenesis [GO:0001756]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; swimming [GO:0036268]; thigmotaxis [GO:0001966]; transcription-coupled nucleotide-excision repair [GO:0006283]; viral process [GO:0016032]	acetyltransferase activity [GO:0016407]; activating transcription factor binding [GO:0033613]; androgen receptor binding [GO:0050681]; beta-catenin binding [GO:0008013]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; H3 histone acetyltransferase activity [GO:0010484]; H4 histone acetyltransferase activity [GO:0010485]; histone acetyltransferase activity [GO:0004402]; histone butyryltransferase activity [GO:0140069]; histone crotonyltransferase activity [GO:0140068]; histone lactyltransferase activity [GO:0120301]; lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]; NF-kappaB binding [GO:0051059]; nuclear hormone receptor binding [GO:0035257]; p53 binding [GO:0002039]; peptide 2-hydroxyisobutyryltransferase activity [GO:0106226]; peptide butyryltransferase activity [GO:0140065]; pre-mRNA intronic binding [GO:0097157]; protein C-terminus binding [GO:0008022]; protein propionyltransferase activity [GO:0061920]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II transcription factor binding [GO:0001085]; STAT family protein binding [GO:0097677]; tau protein binding [GO:0048156]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transferase activity, transferring acyl groups [GO:0016746]; zinc ion binding [GO:0008270]	chromosome [GO:0005694]; cytosol [GO:0005829]; histone acetyltransferase complex [GO:0000123]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; transcription regulator complex [GO:0005667]
Q09666	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	regulation of RNA splicing [GO:0043484]; regulation of voltage-gated calcium channel activity [GO:1901385]	cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; S100 protein binding [GO:0044548]; structural molecule activity conferring elasticity [GO:0097493]	actin cytoskeleton [GO:0015629]; cell-cell contact zone [GO:0044291]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; vesicle [GO:0031982]
Q10570	Q10570	CPSF1_HUMAN	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)	CPSF1 CPSF160	mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA polyadenylation [GO:0006378]; mRNA splicing, via spliceosome [GO:0000398]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; termination of RNA polymerase II transcription [GO:0006369]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	enzyme binding [GO:0019899]; mRNA 3'-UTR AU-rich region binding [GO:0035925]	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q12830	Q12830	BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)	BPTF FAC1 FALZ	anterior/posterior pattern specification [GO:0009952]; brain development [GO:0007420]; cellular response to nerve growth factor stimulus [GO:1990090]; chromatin remodeling [GO:0006338]; embryonic placenta development [GO:0001892]; endoderm development [GO:0007492]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome mobilization [GO:0042766]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to wounding [GO:0009611]	metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]	cell body [GO:0044297]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NURF complex [GO:0016589]; perinuclear region of cytoplasm [GO:0048471]
Q12846	Q12846	STX4_HUMAN	Syntaxin-4 (Renal carcinoma antigen NY-REN-31)	STX4 STX4A	cellular response to interferon-gamma [GO:0071346]; cellular response to oxidative stress [GO:0034599]; cornified envelope assembly [GO:1903575]; cytokine-mediated signaling pathway [GO:0019221]; exocytosis [GO:0006887]; intracellular protein transport [GO:0006886]; long-term synaptic potentiation [GO:0060291]; organelle fusion [GO:0048284]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemotaxis [GO:0050921]; positive regulation of eosinophil degranulation [GO:0043311]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein localization to plasma membrane [GO:1903078]; post-Golgi vesicle-mediated transport [GO:0006892]; regulation of exocytosis [GO:0017157]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; SNARE complex assembly [GO:0035493]; synaptic vesicle fusion to presynaptic active zone membrane [GO:0031629]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]; vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane [GO:1990668]	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; sphingomyelin phosphodiesterase activator activity [GO:0016230]	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endomembrane system [GO:0012505]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; lateral loop [GO:0043219]; membrane [GO:0016020]; myelin sheath adaxonal region [GO:0035749]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynaptic active zone membrane [GO:0048787]; SNARE complex [GO:0031201]; somatodendritic compartment [GO:0036477]; specific granule [GO:0042581]; storage vacuole [GO:0000322]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]; vacuole [GO:0005773]
Q12873	Q12873	CHD3_HUMAN	Chromodomain-helicase-DNA-binding protein 3 (CHD-3) (EC 3.6.4.12) (ATP-dependent helicase CHD3) (Mi-2 autoantigen 240 kDa protein) (Mi2-alpha) (Zinc finger helicase) (hZFH)	CHD3	ATP-dependent chromatin remodeling [GO:0043044]; centrosome cycle [GO:0007098]; chromatin assembly or disassembly [GO:0006333]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; spindle organization [GO:0007051]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; double-stranded DNA helicase activity [GO:0036121]; helicase activity [GO:0004386]; nucleosome-dependent ATPase activity [GO:0070615]; RNA binding [GO:0003723]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; PML body [GO:0016605]
Q12888	Q12888	TP53B_HUMAN	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	TP53BP1	cellular response to DNA damage stimulus [GO:0006974]; cellular response to X-ray [GO:0071481]; DNA damage checkpoint [GO:0000077]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of isotype switching [GO:0045830]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein homooligomerization [GO:0051260]	damaged DNA binding [GO:0003684]; histone binding [GO:0042393]; methylated histone binding [GO:0035064]; p53 binding [GO:0002039]; RNA polymerase II activating transcription factor binding [GO:0001102]; telomeric DNA binding [GO:0042162]; transcription coregulator activity [GO:0003712]; ubiquitin modification-dependent histone binding [GO:0061649]	chromosome, telomeric region [GO:0000781]; condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; DNA repair complex [GO:1990391]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork [GO:0005657]; site of double-strand break [GO:0035861]
Q12929	Q12929	EPS8_HUMAN	Epidermal growth factor receptor kinase substrate 8	EPS8	actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; actin polymerization-dependent cell motility [GO:0070358]; barbed-end actin filament capping [GO:0051016]; dendritic cell migration [GO:0036336]; exit from mitosis [GO:0010458]; positive regulation of ruffle assembly [GO:1900029]; Rac protein signal transduction [GO:0016601]; regulation of actin filament length [GO:0030832]; regulation of cell shape [GO:0008360]; regulation of Rho protein signal transduction [GO:0035023]; Rho protein signal transduction [GO:0007266]	actin binding [GO:0003779]; signaling adaptor activity [GO:0035591]; small GTPase binding [GO:0031267]	cell cortex [GO:0005938]; extracellular exosome [GO:0070062]; growth cone [GO:0030426]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; stereocilium [GO:0032420]; synapse [GO:0045202]; vesicle [GO:0031982]
Q12965	Q12965	MYO1E_HUMAN	Unconventional myosin-Ie (Myosin-Ic) (Unconventional myosin 1E)	MYO1E MYO1C	actin filament-based movement [GO:0030048]; actin filament organization [GO:0007015]; endocytosis [GO:0006897]; glomerular basement membrane development [GO:0032836]; glomerular filtration [GO:0003094]; glomerular visceral epithelial cell development [GO:0072015]; in utero embryonic development [GO:0001701]; nitrogen compound metabolic process [GO:0006807]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; post-embryonic hemopoiesis [GO:0035166]; vasculogenesis [GO:0001570]; vesicle transport along actin filament [GO:0030050]	actin-dependent ATPase activity [GO:0030898]; actin filament binding [GO:0051015]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; phosphatidylinositol binding [GO:0035091]	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; brush border [GO:0005903]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular exosome [GO:0070062]; microvillus [GO:0005902]; myosin complex [GO:0016459]; plasma membrane [GO:0005886]; vesicle [GO:0031982]
Q12996	Q12996	CSTF3_HUMAN	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)	CSTF3	mRNA 3'-end processing [GO:0031124]; mRNA cleavage [GO:0006379]; mRNA polyadenylation [GO:0006378]; mRNA splicing, via spliceosome [GO:0000398]; RNA 3'-end processing [GO:0031123]; termination of RNA polymerase II transcription [GO:0006369]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q13045	Q13045	FLII_HUMAN	Protein flightless-1 homolog	FLII FLIL	actin filament severing [GO:0051014]; actin polymerization or depolymerization [GO:0008154]; barbed-end actin filament capping [GO:0051016]; multicellular organism development [GO:0007275]; myofibril assembly [GO:0030239]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]	actin cytoskeleton [GO:0015629]; brush border [GO:0005903]; centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q13098	Q13098	CSN1_HUMAN	COP9 signalosome complex subunit 1 (SGN1) (Signalosome subunit 1) (G protein pathway suppressor 1) (GPS-1) (JAB1-containing signalosome subunit 1) (Protein MFH)	GPS1 COPS1 CSN1	inactivation of MAPK activity [GO:0000188]; JNK cascade [GO:0007254]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; post-translational protein modification [GO:0043687]; protein deneddylation [GO:0000338]; transcription-coupled nucleotide-excision repair [GO:0006283]	GTPase inhibitor activity [GO:0005095]	COP9 signalosome [GO:0008180]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q13129	Q13129	RLF_HUMAN	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein)	RLF	histone H3-K4 monomethylation [GO:0097692]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA methylation [GO:0044030]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]	nucleus [GO:0005634]
Q13131	Q13131	AAPK1_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	activation of MAPK activity [GO:0000187]; bile acid and bile salt transport [GO:0015721]; bile acid signaling pathway [GO:0038183]; CAMKK-AMPK signaling cascade [GO:0061762]; cell cycle arrest [GO:0007050]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to ethanol [GO:0071361]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to nutrient levels [GO:0031669]; cellular response to organonitrogen compound [GO:0071417]; cellular response to oxidative stress [GO:0034599]; cellular response to prostaglandin E stimulus [GO:0071380]; cholesterol biosynthetic process [GO:0006695]; cold acclimation [GO:0009631]; energy homeostasis [GO:0097009]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; fatty acid oxidation [GO:0019395]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; intracellular signal transduction [GO:0035556]; lipid biosynthetic process [GO:0008610]; macroautophagy [GO:0016236]; motor behavior [GO:0061744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; negative regulation of glucosylceramide biosynthetic process [GO:0046318]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of lipid catabolic process [GO:0050995]; negative regulation of TOR signaling [GO:0032007]; negative regulation of tubulin deacetylation [GO:1904428]; neuron cellular homeostasis [GO:0070050]; positive regulation of autophagy [GO:0010508]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of gene expression [GO:0010628]; positive regulation of glycolytic process [GO:0045821]; positive regulation of mitochondrial transcription [GO:1903109]; positive regulation of peptidyl-lysine acetylation [GO:2000758]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of skeletal muscle tissue development [GO:0048643]; protein phosphorylation [GO:0006468]; regulation of bile acid secretion [GO:0120188]; regulation of circadian rhythm [GO:0042752]; regulation of macroautophagy [GO:0016241]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of peptidyl-serine phosphorylation [GO:0033135]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of stress granule assembly [GO:0062028]; regulation of vesicle-mediated transport [GO:0060627]; response to 17alpha-ethynylestradiol [GO:1904486]; response to activity [GO:0014823]; response to caffeine [GO:0031000]; response to camptothecin [GO:1901563]; response to gamma radiation [GO:0010332]; response to hypoxia [GO:0001666]; response to UV [GO:0009411]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]	[acetyl-CoA carboxylase] kinase activity [GO:0050405]; [hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity [GO:0047322]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; chromatin binding [GO:0003682]; histone serine kinase activity [GO:0035174]; metal ion binding [GO:0046872]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]	apical plasma membrane [GO:0016324]; axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]
